[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.014916s ]
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.015007s ]
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000469s ]
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000515s ]
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000354s ]
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000424s ]
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-08-07T10:53:57+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
