[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | INFO: Tag[ route_check ] --START--
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | INFO: Run CheckRoute Behavior [ RunTime:0.000848s ]
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | INFO: Tag[ route_check ] --END-- [ RunTime:0.000919s ]
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | INFO: Tag[ app_begin ] --START--
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000348s ]
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000385s ]
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | SQL: SHOW COLUMNS FROM `think_message` [ RunTime:0.001649s ]
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | SQL: SELECT COUNT(*) AS tp_count FROM `think_message` LIMIT 1   [ RunTime:0.000219s ]
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | SQL: SELECT `mid`,`level`,`subject`,`author`,`time` FROM `think_message` ORDER BY mid desc LIMIT 0,20   [ RunTime:0.000345s ]
[ 2015-08-07T13:36:09+08:00 ] /index.php/Index/welcome | INFO: Tag[ view_template ] --START--
